Рейтинг эффективности деятельности государственных учреждений Свердловской области, подведомственных Министерству образования и молодежной политики Свердловской области, за 2020 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
144.;012265;Государственное автономное учреждение Свердловской области «Региональный центр патриотического воспитания»;104,00;137,00;75,91;Среднеэффективное
145.;012188;Государственное бюджетное общеобразовательное учреждение Свердловской области «Карпинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;121,00;160,00;75,63;Среднеэффективное
146.;012052;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Качканарский горно-промышленный колледж»;124,00;164,00;75,61;Среднеэффективное
147.;012119;Государственное автономное профессиональное образовательное учреждение Свердловской области «Тавдинский техникум им. А.А. Елохина»;120,00;160,00;75,00;Среднеэффективное
148.;012163;Государственное бюджетное общеобразовательное учреждение Свердловской области «Буткинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;120,00;160,00;75,00;Среднеэффективное
149.;012186;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ирбитская школа, реализующая адаптированные основные общеобразовательные программы»;123,00;164,00;75,00;Среднеэффективное
150.;012116;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сысертский социально-экономический техникум «Родник»;120,00;160,00;75,00;Среднеэффективное
151.;012047;Государственное автономное профессиональное образовательное учреждение Свердловской области «Исовский геологоразведочный техникум»;120,00;160,00;75,00;Среднеэффективное
152.;012221;Государственное казенное образовательное учреждение Свердловской области «Специальное учебно-воспитательное учреждение закрытого типа для обучающихся с девиантным (общественно-опасным) поведением» ;86,00;115,00;74,78;Среднеэффективное
153.;012017;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхотурская гимназия»;122,00;164,00;74,39;Среднеэффективное
154.;012200;Государственное бюджетное общеобразовательное учреждение Свердловской области «Школа города Лесного, реализующая адаптированные основные общеобразовательные программы»;119,00;160,00;74,38;Среднеэффективное
155.;012197;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуфимская школа, реализующая адаптированные основные общеобразовательные программы»;119,00;160,00;74,38;Среднеэффективное
156.;012153;Государственное бюджетное учреждение Свердловской области «Ирбитский центр психолого-педагогической, медицинской и социальной помощи»;119,00;160,00;74,38;Среднеэффективное
157.;012128;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский горнозаводской колледж имени Демидовых»;119,00;160,00;74,38;Среднеэффективное
158.;012155;Государственное бюджетное учреждение Свердловской области «Нижнетагильский детский дом» ;116,00;156,00;74,36;Среднеэффективное
159.;012160;Государственное бюджетное общеобразовательное учреждение Свердловской области «Алапаевская школа, реализующая адаптированные основные общеобразовательные программы»;118,00;160,00;73,75;Среднеэффективное
160.;012226;Государственное казенное общеобразовательное учреждение Свердловской области «Каменск-Уральская вечерняя школа»;92,00;125,00;73,60;Среднеэффективное
161.;012059;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Красноуфимский педагогический колледж»;120,00;164,00;73,17;Среднеэффективное
162.;012216;Государственное бюджетное общеобразовательное учреждение Свердловской области «Тавдинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;120,00;164,00;73,17;Среднеэффективное
163.;012019;Государственное бюджетное общеобразовательное учреждение Свердловской области «Средняя общеобразовательная школа №2»;120,00;164,00;73,17;Среднеэффективное
164.;012187;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ивдельская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;117,00;160,00;73,13;Среднеэффективное
165.;012162;Государственное бюджетное общеобразовательное учреждение Свердловской области «Асбестовская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;117,00;160,00;73,13;Среднеэффективное
166.;012157;Государственное бюджетное общеобразовательное учреждение Свердловской области «Сысертская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;116,00;160,00;72,50;Среднеэффективное
167.;012161;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ачитская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;116,00;160,00;72,50;Среднеэффективное
168.;012171;Государственное бюджетное общеобразовательное учреждение Свердловской области «Дегтярская школа, реализующая адаптированные основные общеобразовательные программы»;115,00;160,00;71,88;Среднеэффективное
169.;012053;Государственное автономное профессиональное образовательное учреждение Свердловской области «Кировградский техникум промышленности, торговли и сервиса»;115,00;160,00;71,88;Среднеэффективное
170.;012113;Государственное автономное профессиональное образовательное учреждение Свердловской области «Слободотуринский аграрно-экономический техникум» ;115,00;160,00;71,88;Среднеэффективное
171.;012193;Государственное казенное общеобразовательное учреждение Свердловской области «Каменск-Уральская школа, реализующая адаптированные основные общеобразовательные программы»;97,00;137,00;70,80;Среднеэффективное
